timestamp,latitude,longitude,Hs,Tp,wave_direction,wind_speed,wind_direction,surface_current_speed,surface_current_direction,SOG,COG,HDG,roll,pitch,roll_rate,battery,mission_state,data_label
2026-01-15T08:00:00+08:00,39.60000,122.50000,0.4,5.5,90,4.0,80,0.10,70,0.0,90,90,0.5,0.2,0.4,100,PRE_DEPARTURE,SIMULATED / DEMO ONLY
2026-01-15T08:05:00+08:00,39.60100,122.50300,0.6,5.2,80,5.0,75,0.12,70,2.0,70,72,2.0,0.8,1.5,96,OUTBOUND,SIMULATED / DEMO ONLY
2026-01-15T08:10:00+08:00,39.60300,122.50700,1.0,4.8,95,7.0,90,0.18,85,2.4,68,70,4.5,1.5,3.0,91,OUTBOUND,SIMULATED / DEMO ONLY
2026-01-15T08:15:00+08:00,39.60500,122.51100,1.6,4.4,150,9.0,130,0.28,120,2.2,65,68,10.0,3.5,7.0,86,OUTBOUND,SIMULATED / DEMO ONLY
2026-01-15T08:20:00+08:00,39.60600,122.51300,2.0,4.1,155,11.0,145,0.42,130,1.8,60,65,17.0,6.0,12.0,81,OUTBOUND,SIMULATED / DEMO ONLY
2026-01-15T08:25:00+08:00,39.60700,122.51400,1.8,4.3,155,10.0,145,0.38,130,1.0,150,148,8.0,3.0,5.0,78,OUTBOUND,SIMULATED / DEMO ONLY
2026-01-15T08:30:00+08:00,39.60900,122.51600,1.3,4.8,150,8.0,140,0.30,125,1.3,145,147,5.0,2.0,3.0,74,ON_STATION,SIMULATED / DEMO ONLY
2026-01-15T08:40:00+08:00,39.60900,122.51600,1.1,5.0,145,7.0,135,0.25,120,0.3,195,198,3.0,1.0,2.0,69,ON_STATION,SIMULATED / DEMO ONLY
2026-01-15T08:45:00+08:00,39.60700,122.51200,0.9,5.2,140,6.0,130,0.20,115,1.6,240,238,3.0,1.0,1.8,64,RETURNING,SIMULATED / DEMO ONLY
2026-01-15T08:55:00+08:00,39.60300,122.50500,0.7,5.4,130,5.0,120,0.15,105,1.6,245,243,2.0,0.8,1.2,57,RETURNING,SIMULATED / DEMO ONLY
2026-01-15T09:05:00+08:00,39.60000,122.50000,0.5,5.5,120,4.0,110,0.10,95,0.0,250,250,0.5,0.2,0.4,53,COMPLETED,SIMULATED / DEMO ONLY

